question,answer
quantas ecorregiões estão na floresta amazônica colombiana,cinco
Qual foi a primeira temporada de Floribama Shore?,J.
Qual é o principal problema com a floresta amazônica?,Desmatamento
Quantas missões o Brasil tem no exterior,mais de 220.
qual estado sul-americano está inteiramente no rio Solimes,"Amazonas, Brasil"
A Floresta Nacional de Goytacazes faz parte do qual o corredor,Corredor ecológico da Floresta Atlântica Central
Qual é a praia mais famosa do Brasil?,Praia de Pipa.
Qual é a precipitação anual em Santa Catarina Juquila México,854 mm.
Onde é a única praia nua do Espírito Santo,Barra Seca.
Onde a tribo Xingu luta nua,Região da Bacia da Amazon no Brasil
Quando a Universidade Federal da Amazonas se tornou a Universidade Federal da Amazonas?,Junho de 2002.
A arara dos pássaros Spix é nativa a qual país,Brasil
qual zona domina o clima equatorial de Roraima,Zona de convergência intertrópica
Qual corpo de água separa o Brasil da Nigéria,oceano Atlântico
Quão alto é Nibelândia acima do nível do mar no Brasil,650 metros
Onde as orquestras amazônicas se apresentam na floresta amazônica,Amazon Theatre.
Quem torpedeou o Paraná no Brasil durante o WW1,um submarino alemão
Que nacionalidade era Fernando de Noronha,português
O Parintintin são um povo indígena de qual país,Brasil
quem o Brasil perdeu para as paralímpicos,Ucrânia
Quantos brasileiros realmente têm algumas ancestrais indígenas,Milhões
Por que os Amazonas conseguiu um grande crescimento populacional no início do século XX,Período de borracha de ouro
mura é uma língua falada em qual região da América do Sul,"Amazonas, Brasil"
Em que país são as montanhas do Espinhaço,Brasil
O que a floresta tropical é monitorada pela ECU no Brasil,Floresta amazônica
Quantos lugares o Partido Socialista venceu no Parlamento Brasileiro em 2010,34.
Quem é dono dos navios de patrulha de classe do rio em Trinidad e Tobago,a marinha brasileira
Quanta floresta foi reservada no Brasil desde 2007,Mais de 20 milhões de hectares
Qual é o efeito dos distúrbios humanos na Mata Atlântica?,uma crise de extinção
As florestas Atlânticas do Alto Parana são uma extensão interior do que,Florestas costeiras.
Quem foi o mandioca na lenda da Amazônia,Um lindo caçador jovem
Morretes é uma cidade histórica na costa da qual o estado brasileiro,Paraná.
Qual foi a batalha da Ilha Sukho também conhecida como,Operação Brasil.
Onde foi a Convenção-Quadro das Nações Unidas sobre Mudanças Climáticas criadas em 1992,Rio de Janeiro
Onde fica a região de Caatinga localizada em um mapa do mundo,Brasil
que forneceu apoio militar e treinamento ao Brasil durante a Guerra Fria,Estados Unidos
O colapso de qual indústria levou ao fechamento da Universidade Federal da Amazonas,mercado de borracha
O Araweté é um povo indígena de qual país,Brasil
O Parque Nacional Amacayacu está localizado em que Departamento da Colômbia,O Departamento da Amazonas.
Qual é o nome da Floresta Amazônica,Amazônia
onde está a Amazonas localizado em um mapa do mundo,Northern Peru.
Qual é a principal causa de perda de biodiversidade no Brasil,desmatamento
Swartzia é um gênero de leguminosa na família Fabaceae.onde estão,Amazônia
Qual é a capital do estado amazônico?,Manaus.
Quando a escola naval brasileira se mudou para a Ilha de Villegagnon,1938.
Que porcentagem da taxa metabólica do mamífero é o manatee amazônico,36%
Qual batalha de 1711 ocorreu na costa portuguesa na guerra de,Batalha do Rio de Janeiro
Que arma o batman usou para matar o flash,uma espada amazônica
geoglifos descobertos na floresta amazônica levaram a afirmações sobre o que,Civilizações pré-colombianas
Que porcentagem de espécies de peixes amazônicas são endêmicas para a bacia do rio Amazonas,Cerca de 45%
Qual país tem a maior quantidade de florestas tropicais mundos,Brasil
Quais foram os marinheiros asiáticos que vieram ao Brasil chamado,Lascars.
Qual país celebra o dia dos povos indígenas em 19 de abril,Brasil
quem possuía o Amazonas antes de se tornar um estado brasileiro,português
Que tipo de ambiente é o Parque Nacional de Emas,Cerrado Savannah.
Que tipo de habitat é cerradomys scotti,terrestre
Em que país é a língua amazônica falada,Brasil
O que está no norte do estado de Mimo Grosso,a floresta amazônica
que evento causou rochas metamórficas de alta qualidade na Bolívia,Evento tectonothermal trans-amazônio
Que porcentagem do carbono da Terra é armazenada em florestas amazônicas,10%
quantas espécies estão nas gênero brasilodon,dois
qual rio na bacia amazônica é a fonte do eremita avermelhado,Rio Tocantins.
Quem alegou ter visto a Ilha Brasil,Capitão John Nisbet.
onde foi o filme turistas filmado no Brasil,Chapada Diamantina.
Qual é o nome da organização brasileira sem fins lucrativos que se concentra em,Cruz Verde Brasil.
onde a região marítima da Bahia é originária,Baía de todos os santos
Onde o boom da borracha amazônica começou?,Brasil
onde a maioria dos povos indígenas no Brasil vivem hoje,Reservas indígenas
Quando o Mbayá chegou primeiro ao Brasil?,1800.
O que o Paraná inundou a savana tem em comum,Biodiversidade
A cidade brasileira de Corumba é a porta de entrada para a qual grande zona húmida,o pantanal
Há quanto tempo as leis estão em vigor em florestas no Brasil,Desde a década de 1930.
qual tribo amazônica usou o atlatl como um lançador de lança,o taririu.
Quando Bahia Honda Key se tornou a praia # 1 na Flórida,1992.
Pedra do Baú e Ana Chata são formações rochosas em que faixa,Montanhas de Mantiqueira
Que temporada é a Andressa no show de realidade brasileira,Sexta temporada
Que tipo de pulso é encontrado na Amazônia,Brow Betô
o que está em risco do manatee amazônico,poluição
Quando Jose Jorge Daniel morava na ilha brasileira?,1964 a 2011.
Omagua está localizado em que a floresta tropical,a floresta amazônica
Onde está o Rainbow Six Siege 3 acontecer,Rio de Janeiro
Quem foi o presidente da Bolívia quando a floresta amazônica foi devastada por,Evo Morales.
O que causou a produção de ouro para aumentar na floresta amazônica,A crise econômica global
Qual é uma das praias mais famosas do Brasil,Praia de Pipa.
Parque Nacional do Pico da Neblina é em que estado sul-americano,Amazonas.
Quando foram os jogos da fome pegando fogo lançado no Brasil,15 de novembro de 2013
Onde estão os primeiros jogos de povos indígenas realizados no Brasil,Goiânia
Quando a temporada de piracema terminam no Brasil?,Março
Quanto de Ilha Grande é coberta por uma floresta atlântica,Mais de 90%
onde está a mina de minério de ferro carajás localizada,Montanhas Carajás do Norte Brasil
em que parte do Brasil você encontraria a praia Carapibus,Nordeste do Brasil.
Qual é o termo usado para se referir aos idiomas falados pelos amazônios,Línguas amazônicas
navios brasileiros foram expostos a ataques pelo que,Submarinos alemães.
Qual floresta tropical é monitorada pela ECU no Brasil,Floresta amazônica
onde brendas starr ir no filme,a selva amazônica
Que tipo de vegetação é encontrada no Parque Nacional de Chapada Diamantina,Vegetação da Floresta Atlântica.
Quem foi demitido por Pedro I do Brasil,o gabinete liberal
Qual é o nome do programa Brasileiro de Pesquisa do Banana Genoma,Datamusa.
O hotspot vulcânico Vitria-Trindade está fora da costa da qual sul,Brasil
O que impede o crescimento do solo na floresta amazônica,Decadência bacteriana rápida
Quando tem o movimento indígena no Brasil crescido,desde a década de 1980.
O tanager brasileiro é um membro da qual a família das aves,Thraupidae.
Em que país é a Reserva da Biosfera da Mata Atlântica,Brasil
O Sanumá é um povo indígena de qual país,Brasil
Qual ilha abriga a cidade de Floriano,Ilha de Papai Noel Catarina.
Onde a Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento realizou em 1992,Rio de Janeiro
Qual foi a capacidade de produção de energia eólica do Brasil em 2003,22 MW.
O parque natural do Aquaquara Municipal contém remanescentes de qual floresta,Mata Atlântica
Que doença Scott Brasil tem no Star Trek Voyager,Doença de lyme.
Quem fez Fabiano Scherner trem no Brasil,Rupp murilo.
onde estão as bagas Açaí crescidas na floresta amazônica,Brasil
Quanto da soja brasileira é cultivada na região do Cerrado,46%
Que altitude é Santa Catarina Juquila no nível do mar,1.462 metros
Qual estrada atravessa o rio Pastaza,Rodovia da Amazonas do Troncal.
Onde os phyllomys o rato vive?,Florestas do Oriente Brasil
Qual é o nome do vulcão que se formou na baía de Angra,Monte Brasil
onde é a entrada para o parque nacional de Pantanal,Puerto Suarez.
O Parque Nacional do Pico da Neblina está localizado em que estado sul-americano,Amazonas.
Quais são as regiões geográficas da Bahia chamada,Mata Atlântica
Quem descobriu o site do lago para o Brasil,Roland Stevenson.
Qual a porcentagem da água doce do Brasil vem da Bacia do Rio Amazonas,75%
Qual é o nome da próxima temporada do modelo do Brasil,O próximo modelo de topo do Brasil
quanto tempo o aquífero guarani fornece água fresca,200 anos
Quantas espécies de répteis existem em pantanal,480.
onde estão as florestas costeiras de Pernambuco localizadas,nordeste do Brasil.
Qual é o nome da ilha de pesquisa que conecta a Europa e o Brasil,FIBRA
Quando o código da floresta passou no Brasil,1965.
Quem é dono da eletricidade na Amazonas e no Parais,Eletrobras
quão alto é tena na floresta amazônica,420m.
Quem reserva slots de entrada para pessoas indígenas no Brasil,20 universidades estaduais e federais
Qual foi o nome da operação de 1991 que ocorreu no Iraque e no Brasil?,Operação Tempestade Desert
O que o Rio Grande faz Norte,Grande rio do norte
Quem gerencia o Parque Nacional Semper Vivas em Minas Gerais,Chico Mendes Institute for Biodiversity Conservation
Qual é a taxa anual de desmatamento na Mata Atlântica?,.5%
Quem fez Nathaniel Brazill matar no lago vale a pena,Barry Grunow.
Qual é a maioria da floresta amazônica usada para,pasto de gado
que controla a política ambiental no Brasil,Ministério do Meio Ambiente
onde está o palestrante de Heliconius Erato encontrado,Amazônia
Quem levou o quinto lugar no Grande Prêmio Brasileiro de 2012,Kamui Kobayashi.
Qual rio forma o limite norte da ecorregião da floresta costeira da Bahia,Rio de Itapicuru
Qual é a terceira montanha mais alta do Brasil?,Pico da Bandeira.
que canal la voz ecuador ar em,TeleMEZONAS.
Qual foi o nome do braço voluntário da Marinha do Brasil,O Corpo do Mariner Imperial
onde está localizado o fundo de conservação da Jaguar,Brasil
Qual é o estudo dos insetos do Cerrado,relativamente substituído
Quanto o Brasil comprou a Amazonas Corvette?,£ 133 milhões
O que Florencia em El Amazonas fez em,uma borboleta
Qual é a maioria dos anfíbios e répteis em Noel Kempff Merc,Espécies amazônicas
Até que ponto Rio de Janeiro do mar,635 quilômetros
Onde a cegonha de Guaguari migra para na Argentina?,o pantanal
Qual é a frase máxima para a crueldade animal no Brasil,3 meses a um ano
De onde vive o Tui Perakeet no Brasil?,Bacia do Amazonas
O Pirahã é um povo indígena de qual país,Brasil
onde é encontrado o saguidor anão encontrado no Brasil,Floresta amazônica
onde está sendo construído o submarino brasileiro de classe de Escorpène?,Sepetiba.
O que é uma parte central das festividades do Paraiso no Brasil,fogueiras
onde vem o termo barrio cerrado,Colômbia
O rio Teles Pires flui através do qual o estado do Brasil,Mato Grosso.
Quem realizou uma pesquisa de 2007 sobre a população LGBT do Brasil,Em busca
Qual é o nome da ilha descoberta por Fernando de Noronha,Quaresma
Que tipo de vegetação faz Sergipe,savana
Qual é a espécie invasiva mais ameaçadora no Brasil,javali selvagem
"Praia de Jatiuca no estado de Alagoas, Brasil, é o mês mais quente",Janeiro
A batida original do Aquarela do Brasil foi baseada no som de,a chuva
Quantos biome terrestres o Brasil,seis
onde é o líquen dictyonema encontrado,Selva amazônica do Equador
onde é o mais desmatamento do mundo localizado,Brasil
Pico 31 de Março é a montanha mais alta da fronteira entre o Brasil,Venezuela
Rio Grande do Norte é mais próximo de qual arquipélago,Fernando de Noronha
Quando os indígenas do Brasil começaram a ser realocados para as plantações de borracha?,1940.
Qual é a única área úmida protegida por um parque nacional no Brasil,o pantanal pantanal
O Brasil assinou um acordo submarino de propulsão nuclear com qual país em 2012,França
Quem está fazendo a Amazônia à venda,Meios de minério
quanto tempo uma porca do Brasil vive na Amazônia,500 anos
Onde moram o zo'e no Brasil?,Rio de Cuminmanema
Quando foi o Centro de Pesquisa de Cana-de-açúcar no Brasil,1969.
A Floresta Nacional Nisia Floresta está localizada em que Bioma,Mata Atlântica
Quantos judeus amazônicos fizeram Aliyah a Israel,Algumas centenas
"Touros é a cidade sul-americana mais próxima para a África, em que rio",Rio Grande do Norte
Qual é outro nome para a floresta tropical da América do Sul,floresta amazônica
As FARC não são mais uma ameaça para o recurso natural na Colômbia,Floresta amazônica
onde serão realizados os próximos campeonatos da Pacific Coast,Rio de Janeiro
Qual foi o nome da empresa que comprou a floresta amazônica em 2005,Petróleo Vintage
"O estado do acre é limitado por Rondônia para o norte,",Amazonas.
o que você precisa para ser um personal trainer no Brasil?,um diploma de bacharel
Quem foi o último homem a ser morto por uma tribo amazônica,Richard Maurice Ledingham Mason
Qual é a subseção das ilhas de Alcatrazes,Geologia
Quando Henry Walter Bates foi para a floresta amazônica,1848.
onde o gigante branco louco morava no livro,Selva amazônica
Onde o Parintintin vive no Brasil?,Bacia do rio da Madeira
Qual é a maior coleção do mundo de aves brasileiras?,A coleção ornitológica
O que alguns funcionários da Amazon atuais se chamam,Amazonas
Onde foi a primeira garantia da Jaguar emitida no Brasil,Pantanal norte
a caatinga é limitada pelas florestas secas do Atlântico e o que,Cerrado Savannas.
Quando a Philharmonic da Amazonas foi estabelecida?,26 de setembro de 1997
Qual é o nome comum do sapo horned surinam?,Sapo Horned Amazônica
Quantas espécies de leão tamarin existem no Brasil?,Quatro.
que os regulamentos de testes de animais do país sul-americano foram promulgados em 2009,Brasil
"Qual é o nome do Centro de Treinamento em Teresópolis, Brasil",Granja Comary.
Até que ponto é o território indígena do Brasil,"1,172,995 km."
De onde veio o nome Fernando de Noronha?,português
Quem escreveu o livro nova Amazônia em 1889,Elizabeth Burgoyne Corbett.
O pássaro Alagoas é endêmico para o qual o país sul-americano,Brasil
Quando termina a estação chuvosa em Santos São Paulo?,Março
A baía das ilhas tem o céu mais azul do mundo.Qual cidade tem o,Rio de Janeiro
Qual é a montanha de granito mais famosa do Rio de Janeiro,Pão de Açucar
Onde a equipe da praia dos homens dos EUA brincou na Copa do Mundo,Brasil
Qual é a capital do estado do Amazonas do Brasil?,Manaus.
Quando chegou a guarda amazônica na Nigéria?,Novembro de 2006.
Onde estava Caramuru A invenção do Brasil filmou,Praia Picinguaba.
Qual foi o tema do Congresso Florestal Mundial realizado no Brasil em 2008,Florestas para as pessoas
Qual é a partida na estação MasterChef 4,Brasil vs. paraguai.
Quanto do arquipélago de Fernando de Noronha foi designado como,70%
Qual é a principal fonte de água na floresta amazônica,rio Amazonas
O Parque Nacional de Alto Purus é em que a floresta tropical,floresta amazônica
quantas zonas de tempo faz amazonas têm,dois
Qual cidade brasileira fica na boca do rio Javaria,Benjamin Constant.
Quanto do planeta é a floresta amazônica,mais da metade
Quando foi criado a listada de espécies da flora do brasil,2010.
Quando o código florestal brasileiro entrou em vigor,1965.
onde estão as lembranças do deserto,Rio de Janeiro
Quando a próxima temporada do modelo do Brasil,4 de setembro de 2008
O que Rosalba faz em Florencia en El Amazonas,jornalista
Onde estão encontrados Rhinelepini no Brasil?,Rio de Paraná
Onde o periquito dourado vive no Brasil?,Bacia do Amazonas
"Qual é o nome do prato amazônico feito de pedaços de carne, homem",ManiÇOBA.
O que regula o selo nacional do Brasil,lei
Que tipo de barata é no pequeno zoológico de rock,Barata brasileira
Qual era o nome da baía que separava Bahia de Salvador,Baía de todos os santos
Em que país os indígenas fazem Cauim,Brasil
Quantos corais de incêndio existem no Brasil,Quinze
De onde a Guaitaca recebeu suas flechas com dentes de tubarão?,Costeiro Brasil.
Que rio é o Trinidad de Parana localizado em,Rio de Paraná
onde foi a mais precoce evidência do assentamento humano na floresta amazônica descoberta,Caverna da Pedra Pintada
onde é a língua kapóng falada no Brasil,Roraima indígena Terra Raposa
Em qual país os fuzileiros navais são treinados,Brasil
onde está localizado o rio Vargem do Brao,"Santa Catarina, Brasil"
Paraty está localizado na costa verde de qual estado,Rio de Janeiro
Qual rio é a artéria fluvial central do Brasil,O rio Tocantins.
Santa Rita do Sapucaí está localizado em que floresta,Mata Atlântica
Quantos megawatts dwe energy tem no Brasil,2.307 megawatts.
Natal está localizado em que rio no Brasil,Rio Grande do Norte
O faxinal Dos Guedes usina hidrelétrica é em que país,Brasil
Em que país foi o primeiro torneio de futebol de praia jogado,Brasil
Qual é o nome da política ambiental nacional do Brasil,Ministério do Meio Ambiente
Que porcentagem do escudo amazônico de guiana é endêmica,aproximadamente 40%
Qual é a quantidade de chuva em Palmas Tocantins?,800 a 1600 mm
Qual cidade recebeu as Olimpíadas de 2016 para as Ilhas Virgens,Rio de Janeiro
O rio Parnaiba é o rio mais longo em que país sul-americano,Brasil
Qual país tem o segundo nível mais alto de biodiversidade do mundo,Brasil
O que afetou a primeira Mata Atlântica no nordeste da Europa,subir na temperatura
Onde estão as florestas úmidas da Amazônia no mundo?,Brasil
onde é a vegetação localizada no Rio Paraiso,Mata Atlântica
Qual é o maior sistema fluvial do Brasil?,Amazonas
onde vive o pirahã no mundo,Amazon Rainforest no Brasil
Porto do Itaqui está localizado em que rio,Rio Grande do Sul
Quanto tempo dura a praia de Itacarezinho no Brasil,"3,5 km."
onde é a única praia nua no Espirito Santo State,Barra Seca.
Qual país tem mais espécies de aves no Brasil,Colômbia
O que é responsável pela inundação de áreas significativas da floresta amazônica,Projetos de Dam Hidrelétrica
Quando foi criado o tambor marinho brasileiro e corps cornos criados,1822.
De onde vive a cambeba antes de chegar ao Brasil?,Bacia do Amazonas
Quem torpedeou Paraná no Brasil em 1917,um submarino alemão
O que o metano de um aterro do Brasil se converte em,equivalentes de carbono
Qual é o nome da ilha do Brasil?,eu
onde está a área de proteção ambiental (APA) localizada,Brasil
onde é a única espécie de Miltonia Flavescens encontrados,Brasil
O que está sendo feito para entender melhor as línguas da região amazônica,pesquisa linguística
Quem cantou a versão original de Aguas da Amazônia,Uakti.
Ilhabela é um arquipélago da costa de qual país,Brasil
liborio guaruleira é o governador de qual estado da América Central,Amazonas.
Quantas zonas protegidas estão na reserva da Biosfera da Mata Atlântica,mais de 700.
Qual cidade está na costa leste de São Paulo,Rio de Janeiro
Quantos kamayura existem na bacia amazônica?,Quatro.
Astrocary Chambira é nativa de qual tropical floresta tropical,Floresta amazônica
Quantas espécies de besouro foram descobertas na floresta amazônica,700.
em maravilha mulher amazonia qual foi o primeiro nome de Duke Eddy,Clarence
Que porcentagem dos anfíbios são endêmicos para a Mata Atlântica,92%
Que animal é o mascote do clube de futebol brasileiro Sertãozinho,touro
Como os amazônicos cultivam pachyrhizus ahipa,mudança de horticultura
Que rio em São Brasil voltou aos seus níveis de poluição de 1990,Rio Tietê.
Qual é a maior reserva de águas subterrâneas do Uruguai,O aquífero guarani.
Qual é a causa das mudanças na paisagem da Mata Atlântica?,Fragmentação habitat.
Onde estão as montanhas Carajás localizadas no Brasil,Pára
Durante quais meses a viagem atual do Brasil da costa para o mar,Julho a setembro
Onde os rios Whitewater se originam na floresta amazônica,Andes.
Qual país tem uma fronteira com a França na Amazônia,Brasil
A brasilwood é listada como uma espécie em extinção por que o corpo da água,IUCN.
De onde a ManiÇoba se origina no Brasil?,a região amazônica
Qual é a maior planície inundada no Brasil?,Pantanal.
Qual é o único local povoado no Amazonas hoje,San Pablo
Quantas pessoas morreram no acidente de trem do Rio de Janeiro de 1958,128.
Qual é a maior floresta restante em Paranapiacaba?,Mata Atlântica
onde é que a Natura doro ocorre,a selva amazônica
Que animais viviam na ilha de Brasil na Irlanda,coelhos pretos
Qual é o pico mais alto das montanhas do Espinhaço,Pico do sol.
Quem listou Brazilwood como espécies ameaçadas no Brasil,IUCN.
Quando a floresta amazônica experimentou uma seca severa?,2010.
Morretes está na costa do qual o estado brasileiro,Paraná.
Qual país é dono das ilhas de St Peter na América do Sul,Brasil
Quando a floresta amazônica começou a ser destruída?,1970.
O São Pedro e São Paulo Arquipélago fica da costa dos quais,Brasil
Em que estado é a terceira montanha mais alta do Brasil,Minas Gerais
"Qual é o nome do cinema em Iquitos, Peru",Cinema amazônico
Os caetes eram indígenas de qual país,Brasil
Que floresta cobre 90% do parque estadual de Ilha Grande,Mata Atlântica
Quantas tribos indígenas existem no Brasil,67.
que foi a primeira pessoa a chegar Fernando de Noronha,UMA
Quantas filhas o Emiro tem em Las Amazonas?,três
Quais são as terras tradicionais no Brasil demarcadas como,Territórios indígenas
Quando o Brasil declarou o patrimônio nacional da Mata Atlântica,1988.
Onde Fernando de Noronha navegou de,Lisboa
Quando o Brasil celebra o Dia Nacional dos Povos Indígenas,19 de abril
Qual é o nome da reserva na Baía Sul de Santa Catarina,Reserva extrativa marinha Pirajubaé
Em que país é a ponte do rio Takutu,Brasil
Em que país é a Comissão Técnica Nacional de Biossegurança responsável pela avaliação do meio ambiente e,Brasil
Qual é a maior ameaça à floresta amazônica,Desmatamento
Quando o Triatoma Brasiliensis se tornou um vetor para a doença de Chagas,1911.
que animal é abundante no sul do Brasil,Cervo
O parque estadual do Rio Doce protege qual floresta,Mata Atlântica
Onde fica o rio Chambira localizado em um mapa,a selva amazônica do Peru
Quão longe são as camas coralinas de algas da costa do Brasil,vários milhares de quilômetros
Quando o manatee amazônico ficou protegido no Peru,1973.
Quantos Yanomami vivem na floresta amazônica,Aproximadamente 35.000.
Que porcentagem da floresta amazônica é protegida por florestas nacionais,Mais do que 10 %
Que porcentagem de anfíbios são endêmicos para a Mata Atlântica,92%
onde está a rodovia oceânica conectando o Brasil e o Peru localizados,Peru
Quantos povos indígenas brasileiros participam dos Jogos Brasileiros,mais de 150.
Qual é o nome da cordilheira na Amazônia?,Andes.
Onde está o campo de treinamento do Time de Futebol do Brasil?,Teresópolis.
Qual é o nome da maior planície tropical do mundo,O pantanal
Qual é a taxa metabólica do manatee amazônico?,36%
onde estão as plantas em cinco voltaram,a floresta amazônica
Qual costa do Brasil é a Baía de Camamu,a costa da palma
Quando o estado brasileiro construiu um marco na Ilha de Trindade,24 de janeiro de 1897
Qual é o nome do macaco do Capuchinho Brasileiro?,K.
Quantas praias existem em Natal Rio Grande do Norte,dezenas de dúzias
Qual é a terceira montanha mais alta em Minas Gerais,Pico da Bandeira.
Qual continente a orogenia svecofenia ocorreu,o continente da Amazônia
Onde está a Baía de Guanabara localizada em um mapa do mundo,Sudeste do Brasil
Como o Brasil tem carbono fora da atmosfera?,Desmatamento
Qual é o nome do serviço de armazenamento on-line lançado na China e no Brasil,Amazon Drive
O rio Roraima está ligado ao qual outro rio,Rio Branco
Quando as árvores em Fernando de Noronha cortam,século 19
Qual é a maior fortaleza na região da Amazonas?,Kuelap.
Quem descobriu o rio São Francisco no Brasil,Richard Francis Burton.
Hipertensao temporada 1 foi filmado em que país,Brasil
O parakeet Tui é uma ave nativa de qual país,Brasil
De onde se realizou as ervilhas negras no Brasil?,Praia de Ipanema
De onde veio os arenitos de Ponta Grossa,Formação Geral da Serra
Raposa Serra do Sol é o maior território indígena em que o estado brasileiro,Roraima.
Quantos anos tem a temporada de futebol brasileira de 2018,117.
O que faz com que a água superficial das zonas húmidas de Pantanal seja inundada,Micróbios decompostos
Que percentagem da floresta amazônica poderia ser danificada por desmoronando até 2030,Quase 60%
Quantos lugares o Senado brasileiro,81.
Qual é o maior rio do Brasil,Amazonas
que viveu no Amazonas antes de Columbus,Povos Seminomádicos
Quantos galhos o rio Tocantins tem,vinte
Que montanha no Rio de Janeiro é conhecida por suas vistas por cabo,Montanha de Sugarloaf.
Onde estão as espécies ameaçadas do Brasil localizadas,Mata Atlântica
"Qual é o nome do projeto para vincular unidades de conservação no Brasil, Paraguai",O corredor de biodiversidade trinacional
Qual é a barragem no rio Paraguai que separa o Brasil do Argent,Barragem Itaipu.
Quantos anos os amazônicos olham para o final da história?,quarenta
Onde o Cubera Snapper vive no Brasil?,rio Amazonas
Quando o Brasil proibiu o uso de peles de animais?,2014.
Qual porcentagem da floresta amazônica brasileira é protegida pelo código da floresta,80%
Qual é a maior região do Império Brasileiro?,Amazonas
Que país tem a maior biodiversidade do mundo,Brasil
Quem conduziu a orquestra em Guas da Amazônia,Kristjan Jarvi.
onde estava o beijo noturno no Brasil realizado,Santa Maria.
Qual rio divide o Paraguai e o Brasil,Rio de Paraná
O rio Guaíba é executado pelo qual o estado sul-americano,Rio Grande do Sul
Em que estado do Brasil é a Reserva Extrativa Marinha de Corumbau,Bahia.
Qual parque nacional é nomeado após o povo Kiriri,Parque Nacional de Chapada Diamantina
Por que os tamarins de mãos negras precisam ser realocados para o Brasil,desmatamento
Quando a floresta amazônica foi classificada em 4 categorias,2006.
Ilha Grande é uma ilha tropical em que país sul-americano,Brasil
Quem gerencia o parque nacional de Brasília,Chico Mendes Institute for Biodiversity Conservation
Qual cidade em Alagoas encontra-se no fundo do rio São Francisco,Penedo
O Brasil tem programas para proteger as florestas públicas a partir do que,desmatamento
Quantas missões no exterior o Brasil tem,mais de 220.
Qual é o nome da floresta tropical no Brasil?,floresta amazônica
Quem levantou Kali Mutsa na mitologia amazônica,Um chefe do Aymara
Quantos piratapuyo estão no Amazonas,1.325.
Qual rio drena a maioria das bacias sedimentares do Brasil,Amazonas
Que tipo de animal é encontrado na caverna Barriguda na Bahia,besouro
Qual é o delta do rio Paraná na Argentina,O delta do paraná.
Em que estado sul-americano é a reserva de desenvolvimento sustentável de Cujubim,"Amazonas, Brasil"
"De acordo com a lenda da Amazônia, qual era o nome do alimento básico nativo que",Mandioca
O que aconteceu no Brasil durante o Paleoceno e Miocene,Os níveis do mar caíram
Quantas espécies estão na Mata Atlântica no Paraguai,35.
Qual é o novo nome do Parque Nacional da Guiana Amazônia,Guiana Amazonian Park
A principal atividade humana no Delta do Paraná Delta é a exploração do que,a floresta de salgueiro
Onde o rio Paraná flua para a Argentina?,Cataratas do iguaçu
Por que o Pied Tamarin está em perigo na floresta amazônica,a destruição do seu habitat natural
onde foi a maior gota de chuva encontrada em 1995,Norte do Brasil
qual cientista brasileiro identificou uma doença tropical,Carlos Chagas
Onde a maioria dos petróleo vem da Amazônia?,Brasil
Quem escreveu nova Amazônia: uma antegoste do futuro,Elizabeth Burgoyne Corbett.
Quem declarou um estado de emergência no Amazonas em 2009,Eduardo Braga.
a qual país o Equador fez seus territórios amazônicos,Colômbia
quanto tempo é a rodovia oceânica entre o Peru e o Brasil,2600 quilômetros
Onde os porcos-espinhos brasileiros vivem no mundo?,As florestas tropicais
Por que os agricultores amazônicos incapazes de gerenciar suas culturas?,Perda da fertilidade do solo
Qual supercontinente foi formado pelo rompimento de Báltica e da Amazônia,R.
Quem dirigiu a Telenovela Pantanal na Rede Manchete,Jayme Monjardim.
O parque estadual do Rio Doce protege um grande remanescente de que floresta,Mata Atlântica
Praia do Forte no Brasil está enfrentando qual oceano,oceano Atlântico
onde o cerrado está localizado na América do Sul,Brasil
O que a erva é encontrada na baía de Chesapeake,Waterweed brasileiro
Qual cidade fica na boca do rio Javaria no Brasil,Benjamin Constant.
Onde foi a primeira rodada da temporada de Fórmula 1 de 1976,Brasil
Qual foi o título do primeiro livro de Elizabeth Burgoyne Corbett,Nova amazônica
onde está o geoplanidae encontrado no Brasil,a floresta atlântica
Senador Amaral é o ponto mais alto de qual cordilheira no Brasil,Montanhas de Mantiqueira
Que frase é usada pelos americanos para se referir a vias navegáveis brasileiras,de Costa a costa
Que doença é causada pelo vírus Sabiá,Febre hemorrágica brasileira
O que o Anthem State Amazonas é chamado,Refrão
Qual país da América do Sul já foi governado pelos bombeiros do estado Corp,Brasil
Quando foi encontrado Fernando de Noronha,10 de agosto de 1503
Quem é o dono da TeleMEZONAS de Guayaquil,FIDEL EGAS GRIJALVA.
O monjolo é uma máquina hidráulica usada para o processamento de grãos em que país,Brasil
Qual filme brasileiro foi filmado no Beach Park,O Noviço rebelde.
Onde o AmericMysis Bahia Shrimp vive nos Estados Unidos?,Águas Estuarinas
Quando a armada de Cabral vista a costa do Brasil,23 de abril de 1500.
Qual é o nome da ilha descoberta por Fernando de Noronha em,Quaresma
Quem usava uma cintura na mitologia amazônica,Hippolyta.
onde é a maior comunidade japonesa no exterior,Brasil
Onde os marshalls vão na primeira peça de roupa?,Caatinga.
Quais são os principais afluentes do rio Piratini no Brasil,Santanta Stream.
Que doença scott brasil tem na anatomia de Gray,doença de Lou Gehrig
qual bioma é o parque estadual serra do conduru em,Mata Atlântica
Em que país é a floresta tropical de Tijuca,Brasil
